fullCate,alterCate,group
12348663,48663,12
12344354,44354,12
15344961,44961,15
15335839,35839,15
12337561,37561,12
15345036,45036,15
15346303,46303,15
15336045,36045,15
1523647,3647,15
15346306,46306,15
15336049,36049,15
12337418,37418,12
15339237,39237,15
15240090,40090,15
15345051,45051,15
1534143,4143,15
15335443,35443,15
15344762,44762,15
12344314,44314,12
12344232,44232,12
15344748,44748,15
12337601,37601,12
15315193,15193,15
15246810,46810,15
15342047,42047,15
15332132,32132,15
15324880,24880,15
15241706,41706,15
12337581,37581,12
15336066,36066,15
15343036,43036,15
15317573,17573,15
15340765,40765,15
12348788,48788,12
1523439,3439,15
12337531,37531,12
15235994,35994,15
15341648,41648,15
15345035,45035,15
1533898,3898,15
15343013,43013,15
12237617,37617,12
15342050,42050,15
15345052,45052,15
15235947,35947,15
12337612,37612,12
15221463,21463,15
12337610,37610,12
15341044,41044,15
12344351,44351,12
15328963,28963,15
15235993,35993,15
15344754,44754,15
15336042,36042,15
15345033,45033,15
15331374,31374,15
12344215,44215,12
12237509,37509,12
15232584,32584,15
15347548,47548,15
12237570,37570,12
15346299,46299,15
15235834,35834,15
15341003,41003,15
15320796,20796,15
15349082,49082,15
12337627,37627,12
15349087,49087,15
15335927,35927,15
15310024,10024,15
15342447,42447,15
15344761,44761,15
12342147,42147,12
15339521,39521,15
12344213,44213,12
15345028,45028,15
15343917,43917,15
12242963,42963,12
15341650,41650,15
1533957,3957,15
15235824,35824,15
15345037,45037,15
15341666,41666,15
15342903,42903,15
12344210,44210,12
15236028,36028,15
15345045,45045,15
15342849,42849,15
15335825,35825,15
12337575,37575,12
1534098,4098,15
15335826,35826,15
15342846,42846,15
15341199,41199,15
12337587,37587,12
15239761,39761,15
15345031,45031,15
15344752,44752,15
15342975,42975,15
15345040,45040,15
15336022,36022,15
15345034,45034,15
15342894,42894,15
15342048,42048,15
15227279,27279,15
15344765,44765,15
15345038,45038,15
12337630,37630,12
15235813,35813,15
15334614,34614,15
15341668,41668,15
15328951,28951,15
12344214,44214,12
15344753,44753,15
15349366,49366,15
15341042,41042,15
15345025,45025,15
12339362,39362,12
15345023,45023,15
15342446,42446,15
15247103,47103,15
15320798,20798,15
15335838,35838,15
15345429,45429,15
15343033,43033,15
15341647,41647,15
15345030,45030,15
15340750,40750,15
15342851,42851,15
15338669,38669,15
15342987,42987,15
15222291,22291,15
15335915,35915,15
15243647,43647,15
15341686,41686,15
15329370,29370,15
15228946,28946,15
15345024,45024,15
1523652,3652,15
15343034,43034,15
15344971,44971,15
15346913,46913,15
15344749,44749,15
15343008,43008,15
15335841,35841,15
15320772,20772,15
15241657,41657,15
15343786,43786,15
15316896,16896,15
1531974,1974,15
15235873,35873,15
15239795,39795,15
1523582,3582,15
15344977,44977,15
1523430,3430,15
15347662,47662,15
15347348,47348,15
15336272,36272,15
15342952,42952,15
15342847,42847,15
15341649,41649,15
15320806,20806,15
15235842,35842,15
15335926,35926,15
15342999,42999,15
15344750,44750,15
15341697,41697,15
15345026,45026,15
15347664,47664,15
15345431,45431,15
15342853,42853,15
1534153,4153,15
15317575,17575,15
15235877,35877,15
12344207,44207,12
15346915,46915,15
15343638,43638,15
15335883,35883,15
15345523,45523,15
15343648,43648,15
15336415,36415,15
15341663,41663,15
15345048,45048,15
15345430,45430,15
15347666,47666,15
15342904,42904,15
15342049,42049,15
15344959,44959,15
15345032,45032,15
15337597,37597,15
15332586,32586,15
1534152,4152,15
15231088,31088,15
15343015,43015,15
15345050,45050,15
15344751,44751,15
15344763,44763,15
15222643,22643,15
15345436,45436,15
15339125,39125,15
15342902,42902,15
15342680,42680,15
15346304,46304,15
15322292,22292,15
15346333,46333,15
15345434,45434,15
15348187,48187,15
15336286,36286,15
15342759,42759,15
15344980,44980,15
15316319,16319,15
1524882,4882,15
17316034,16034,17
15348505,48505,15
15335925,35925,15
15245435,45435,15
15343011,43011,15
15336225,36225,15
15344442,44442,15
15310023,10023,15
15345041,45041,15
15341628,41628,15
15345439,45439,15
15343652,43652,15
1523517,3517,15
15342882,42882,15
15240504,40504,15
15343653,43653,15
15343649,43649,15
1733751,3751,17
1531969,1969,15
15343116,43116,15
15339120,39120,15
15334613,34613,15
15345441,45441,15
15343014,43014,15
15342848,42848,15
1534887,4887,15
15336040,36040,15
15347345,47345,15
15338268,38268,15
15341694,41694,15
15341673,41673,15
15335885,35885,15
15335917,35917,15
15312984,12984,15
15332131,32131,15
15235848,35848,15
15349579,49579,15
15243650,43650,15
15345029,45029,15
17343088,43088,17
15338994,38994,15
15330127,30127,15
15346851,46851,15
15235876,35876,15
15330002,30002,15
15334616,34616,15
15343219,43219,15
15345427,45427,15
15345433,45433,15
15231367,31367,15
15342852,42852,15
15346855,46855,15
15345007,45007,15
15329853,29853,15
15247105,47105,15
15237574,37574,15
1531956,1956,15
15343095,43095,15
15344747,44747,15
15330385,30385,15
15344963,44963,15
15236224,36224,15
15235976,35976,15
15338670,38670,15
15347796,47796,15
15335924,35924,15
15341627,41627,15
15344441,44441,15
15344979,44979,15
17326960,26960,17
15330121,30121,15
15345224,45224,15
15339123,39123,15
15341437,41437,15
15321631,21631,15
15345210,45210,15
15332585,32585,15
15332725,32725,15
15236001,36001,15
15345039,45039,15
15241652,41652,15
15345424,45424,15
15332593,32593,15
15341432,41432,15
1521987,1987,15
15244440,44440,15
15336433,36433,15
15235878,35878,15
15342887,42887,15
15332591,32591,15
15335145,35145,15
15346854,46854,15
15347667,47667,15
15232589,32589,15
1521976,1976,15
15339107,39107,15
15341715,41715,15
15335908,35908,15
15341688,41688,15
15345521,45521,15
15330366,30366,15
15341440,41440,15
15341407,41407,15
15343009,43009,15
15349578,49578,15
17316299,16299,17
15341438,41438,15
15235882,35882,15
15341442,41442,15
15341708,41708,15
15220679,20679,15
1532163,2163,15
15320750,20750,15
15342845,42845,15
15347665,47665,15
1534151,4151,15
15220748,20748,15
15241240,41240,15
15336030,36030,15
15345425,45425,15
15320201,20201,15
15321363,21363,15
17216291,16291,17
15320804,20804,15
1534147,4147,15
15347670,47670,15
15241656,41656,15
15324381,24381,15
15342898,42898,15
15227280,27280,15
15339106,39106,15
15341702,41702,15
15341659,41659,15
15341680,41680,15
15344453,44453,15
17231661,31661,15
15338995,38995,15
15347669,47669,15
15341413,41413,15
1733663,3663,17
15343099,43099,15
15332592,32592,15
17347655,47655,17
15341433,41433,15
15341671,41671,15
15241404,41404,15
15343094,43094,15
15210022,10022,15
15341707,41707,15
15347660,47660,15
15345042,45042,15
15341703,41703,15
15242844,42844,15
15325029,25029,15
15231087,31087,15
17345010,45010,17
15320773,20773,15
15342679,42679,15
15340445,40445,15
15345522,45522,15
15345426,45426,15
15343056,43056,15
15345225,45225,15
17349739,49739,17
15343097,43097,15
15343100,43100,15
15242850,42850,15
15345205,45205,15
15341429,41429,15
15335982,35982,15
15341661,41661,15
15341681,41681,15
15320754,20754,15
15341682,41682,15
15341711,41711,15
15343098,43098,15
15315212,15212,15
15341427,41427,15
15241402,41402,15
15345204,45204,15
17341898,41898,17
15345221,45221,15
15341626,41626,15
17332610,32610,17
15344444,44444,15
1539856,9856,15
15341664,41664,15
15345437,45437,15
15345442,45442,15
15345500,45500,15
15241623,41623,15
15341420,41420,15
17331753,31753,17
15230365,30365,15
15343227,43227,15
15341685,41685,15
15345524,45524,15
15342885,42885,15
15343105,43105,15
17343506,43506,17
15235829,35829,15
15330367,30367,15
15242752,42752,15
15341709,41709,15
15347349,47349,15
15345432,45432,15
15222466,22466,15
15341444,41444,15
17340551,40551,17
15341679,41679,15
17316042,16042,17
15341434,41434,15
15241653,41653,15
15245520,45520,15
15341418,41418,15
15341704,41704,15
15347343,47343,15
15341675,41675,15
17342328,42328,17
15241658,41658,15
15243103,43103,15
1523891,3891,15
15347661,47661,15
15345203,45203,15
17342108,42108,17
17346948,46948,17
15341712,41712,15
15344976,44976,15
15241401,41401,15
15341662,41662,15
15341689,41689,15
15345443,45443,15
15247659,47659,15
15341683,41683,15
15345501,45501,15
15343114,43114,15
15310970,10970,15
17341728,41728,17
15342974,42974,15
17347356,47356,17
15341660,41660,15
17231752,31752,17
15231089,31089,15
15347346,47346,15
15345218,45218,15
15341669,41669,15
15246849,46849,15
15245421,45421,15
15343110,43110,15
15341705,41705,15
17342569,42569,17
15347389,47389,15
17346808,46808,17
15241398,41398,15
17340550,40550,17
15341415,41415,15
15334612,34612,15
15345212,45212,15
15235874,35874,15
15345199,45199,15
17311975,11975,17
15341716,41716,15
17332792,32792,17
15345216,45216,15
15341714,41714,15
15341687,41687,15
15343651,43651,15
17337086,37086,17
15341667,41667,15
15341693,41693,15
15341430,41430,15
15344978,44978,15
15342905,42905,15
17330877,30877,17
15331057,31057,15
15345214,45214,15
15341670,41670,15
17334797,34797,17
1723031,3031,17
15332728,32728,15
15341447,41447,15
15341710,41710,15
15243104,43104,15
15345422,45422,15
15241403,41403,15
15346850,46850,15
1736517,6517,17
15344981,44981,15
15210025,10025,15
17312397,12397,17
15220744,20744,15
17241892,41892,17
15341684,41684,15
17337081,37081,17
17348096,48096,17
17343513,43513,17
15241654,41654,15
17337153,37153,17
15334615,34615,15
1723066,3066,17
15345201,45201,15
15341701,41701,15
15342757,42757,15
15339124,39124,15
1734993,4993,17
15330120,30120,15
15337959,37959,15
15341665,41665,15
17342119,42119,17
15343111,43111,15
15241400,41400,15
17331754,31754,17
15342681,42681,15
17329593,29593,17
17345012,45012,17
15241406,41406,15
17311304,11304,17
15341699,41699,15
15345220,45220,15
17336965,36965,17
15341676,41676,15
1533597,3597,15
17316066,16066,17
1733962,3962,17
15347347,47347,15
17348892,48892,17
17240548,40548,17
17337890,37890,17
17337103,37103,17
15243108,43108,15
15344443,44443,15
17247336,47336,17
15341423,41423,15
1723788,3788,17
17342114,42114,17
17341735,41735,17
15341691,41691,15
15347663,47663,15
15343113,43113,15
15224881,24881,15
17242346,42346,17
15341412,41412,15
1737847,7847,17
15343115,43115,15
15245195,45195,15
15345213,45213,15
15341672,41672,15
17241742,41742,17
15345207,45207,15
17327485,27485,17
15236578,36578,15
15334617,34617,15
1733967,3967,17
17331679,31679,17
15345206,45206,15
15335983,35983,15
17329924,29924,17
17337098,37098,17
17346949,46949,17
15346853,46853,15
17241750,41750,17
15241405,41405,15
15341416,41416,15
17346947,46947,17
17312037,12037,17
17232501,32501,17
15341419,41419,15
15345200,45200,15
15341435,41435,15
17334432,34432,17
17318049,18049,17
15345217,45217,15
17341752,41752,17
17316068,16068,17
15341674,41674,15
15345197,45197,15
15341441,41441,15
15346852,46852,15
15345211,45211,15
17341751,41751,17
1531984,1984,15
17345722,45722,17
17340558,40558,17
15341414,41414,15
15341421,41421,15
17237080,37080,17
17336966,36966,17
15241621,41621,15
17342193,42193,17
17230818,30818,17
15330369,30369,15
15341436,41436,15
15341677,41677,15
17333129,33129,17
1733657,3657,17
17241741,41741,17
15341443,41443,15
15345208,45208,15
17311972,11972,17
17343813,43813,17
17326945,26945,17
17334395,34395,17
17348529,48529,17
17344602,44602,17
17341731,41731,17
17316055,16055,17
17349694,49694,17
17242916,42916,17
17345011,45011,17
17345721,45721,17
17312039,12039,17
17318046,18046,17
1521952,1952,15
15341698,41698,15
15341449,41449,15
17327493,27493,17
17341734,41734,17
15322976,22976,15
17336752,36752,17
15345202,45202,15
17316014,16014,17
17340403,40403,17
17317922,17922,17
15341408,41408,15
17336291,36291,17
17346950,46950,17
17235148,35148,17
17342529,42529,17
17332618,32618,17
17247678,47678,17
17216294,16294,17
1521312,1312,15
1724003,4003,17
15341678,41678,15
15330374,30374,15
17340301,40301,17
17347337,47337,17
17335128,35128,17
17336853,36853,17
17345990,45990,17
15241399,41399,15
15342682,42682,15
17337110,37110,17
17316295,16295,17
17312479,12479,17
17347683,47683,17
17336999,36999,17
17332977,32977,17
15345198,45198,15
17328424,28424,17
17316303,16303,17
17330675,30675,17
17328423,28423,17
17334610,34610,17
17342684,42684,17
17338967,38967,17
17343249,43249,17
17341733,41733,17
1531977,1977,15
1539605,9605,15
17335493,35493,17
17343086,43086,17
17242191,42191,17
17347340,47340,17
17316132,16132,17
15341411,41411,15
17316031,16031,17
17330769,30769,17
17316127,16127,17
17335490,35490,17
17316298,16298,17
15341690,41690,15
17327457,27457,17
15345196,45196,15
17345301,45301,17
15342669,42669,15
17316016,16016,17
17336248,36248,17
17348053,48053,17
17336378,36378,17
17325212,25212,17
17347342,47342,17
17330677,30677,17
17216029,16029,17
15345223,45223,15
17342121,42121,17
17337917,37917,17
17312874,12874,17
17343637,43637,17
17347212,47212,17
15341700,41700,15
17347344,47344,17
15341696,41696,15
17337135,37135,17
1733778,3778,17
1735018,5018,17
1733755,3755,17
15241655,41655,15
17332981,32981,17
17334008,34008,17
17316292,16292,17
17329975,29975,17
17332794,32794,17
17337088,37088,17
17345654,45654,17
17316041,16041,17
15341446,41446,15
17337090,37090,17
17347350,47350,17
15341445,41445,15
17328421,28421,17
1733959,3959,17
17332987,32987,17
1724575,4575,17
17340675,40675,17
17345723,45723,17
17241727,41727,17
17240683,40683,17
1733969,3969,17
1734593,4593,17
1723719,3719,17
17311502,11502,17
17341469,41469,17
17235560,35560,17
15343109,43109,15
17349737,49737,17
15341692,41692,15
15243112,43112,15
17230750,30750,17
17331755,31755,17
17341729,41729,17
17324118,24118,17
17343182,43182,17
15341426,41426,15
17228413,28413,17
17342921,42921,17
1734004,4004,17
17342116,42116,17
17347148,47148,17
1733970,3970,17
13349424,49424,13
17332576,32576,17
15341439,41439,15
17341732,41732,17
17331825,31825,17
17347652,47652,17
17326064,26064,17
17328764,28764,17
17311111,11111,17
17328113,28113,17
17328207,28207,17
17337891,37891,17
17342918,42918,17
17330771,30771,17
17316293,16293,17
17342683,42683,17
17347514,47514,17
17336963,36963,17
15341695,41695,15
17247656,47656,17
17346809,46809,17
17332398,32398,17
15345222,45222,15
17337100,37100,17
17328231,28231,17
17349748,49748,17
17337111,37111,17
17340685,40685,17
17335751,35751,17
17336376,36376,17
17342426,42426,17
17325582,25582,17
17327872,27872,17
17345009,45009,17
1723809,3809,17
17332494,32494,17
17342874,42874,17
17334006,34006,17
17345493,45493,17
17349488,49488,17
17335063,35063,17
17336377,36377,17
17347339,47339,17
17347606,47606,17
17337085,37085,17
15341448,41448,15
17332500,32500,17
17341323,41323,17
17336728,36728,17
17247647,47647,17
17333109,33109,17
17345580,45580,17
17332503,32503,17
17334137,34137,17
17347841,47841,17
17327489,27489,17
15345219,45219,15
15341431,41431,15
17345884,45884,17
17348895,48895,17
17334726,34726,17
17345300,45300,17
17349538,49538,17
17234869,34869,17
17327492,27492,17
17312038,12038,17
1739048,9048,17
17347080,47080,17
17248787,48787,17
17330979,30979,17
17218040,18040,17
15341424,41424,15
17340561,40561,17
17235170,35170,17
17321077,21077,17
17342922,42922,17
17336471,36471,17
17328066,28066,17
17316305,16305,17
17342919,42919,17
17332759,32759,17
17349589,49589,17
1723812,3812,17
17347513,47513,17
17336430,36430,17
17242870,42870,17
15341410,41410,15
17335129,35129,17
15345209,45209,15
17335097,35097,17
17316144,16144,17
17334135,34135,17
17316012,16012,17
17247512,47512,17
17332408,32408,17
17327858,27858,17
17326061,26061,17
17349738,49738,17
17336760,36760,17
17242880,42880,17
17311109,11109,17
1733723,3723,17
17337101,37101,17
1733948,3948,17
17319876,19876,17
17247684,47684,17
1739045,9045,17
17348050,48050,17
17327824,27824,17
1723030,3030,17
17347597,47597,17
17342920,42920,17
17336969,36969,17
17345983,45983,17
17341896,41896,17
17336545,36545,17
17347675,47675,17
17248805,48805,17
13249428,49428,13
17336980,36980,17
1723806,3806,17
17340096,40096,17
17348414,48414,17
17347147,47147,17
17342427,42427,17
17316020,16020,17
17312033,12033,17
17334041,34041,17
17334788,34788,17
17327868,27868,17
17311018,11018,17
1733964,3964,17
17326368,26368,17
17349770,49770,17
17342923,42923,17
17336736,36736,17
17336976,36976,17
17231661,31661,17
17340339,40339,17
1738129,8129,17
17347653,47653,17
17335818,35818,17
17348024,48024,17
17336302,36302,17
17331822,31822,17
1733934,3934,17
17347384,47384,17
17340699,40699,17
1733034,3034,17
1734514,4514,17
17332988,32988,17
13349432,49432,13
17327874,27874,17
17247335,47335,17
17336748,36748,17
17345272,45272,17
17330823,30823,17
17336854,36854,17
17244812,44812,17
17327964,27964,17
17337097,37097,17
17327807,27807,17
17335485,35485,17
17315977,15977,17
17334833,34833,17
17335154,35154,17
17327871,27871,17
17319293,19293,17
17310935,10935,17
13349434,49434,13
17341471,41471,17
17347650,47650,17
17330678,30678,17
17316110,16110,17
17337004,37004,17
17331823,31823,17
17245008,45008,17
17242871,42871,17
17241725,41725,17
17337099,37099,17
17241470,41470,17
17334621,34621,17
1733932,3932,17
17341473,41473,17
17341897,41897,17
17332506,32506,17
17336379,36379,17
17318043,18043,17
17319292,19292,17
17348894,48894,17
17337152,37152,17
17333968,33968,17
17240679,40679,17
13340974,40974,13
17330817,30817,17
17327809,27809,17
17349489,49489,17
17311332,11332,17
1737969,7969,17
17332993,32993,17
17337542,37542,17
17317989,17989,17
17342347,42347,17
17332473,32473,17
17341202,41202,17
17347615,47615,17
17334831,34831,17
17349412,49412,17
17336249,36249,17
17333876,33876,17
17235635,35635,17
17232396,32396,17
17334153,34153,17
1723942,3942,17
17333149,33149,17
17337154,37154,17
17334074,34074,17
17348133,48133,17
17334871,34871,17
17347603,47603,17
17242879,42879,17
17327432,27432,17
13347962,47962,13
17340684,40684,17
17349736,49736,17
17332498,32498,17
17327490,27490,17
17327864,27864,17
17325131,25131,17
17331464,31464,17
17336247,36247,17
17331515,31515,17
17317868,17868,17
17311973,11973,17
17348240,48240,17
17215961,15961,17
13349438,49438,13
17327878,27878,17
17324863,24863,17
17342530,42530,17
17337005,37005,17
17336107,36107,17
17344813,44813,17
13344438,44438,13
17336380,36380,17
17342872,42872,17
17342875,42875,17
17347617,47617,17
17327975,27975,17
17347338,47338,17
17333947,33947,17
17217865,17865,17
17332793,32793,17
17349740,49740,17
17247673,47673,17
17316142,16142,17
17334750,34750,17
13347957,47957,13
17340405,40405,17
17343201,43201,17
13340887,40887,13
17345857,45857,17
17332178,32178,17
17341753,41753,17
17349718,49718,17
17327816,27816,17
17331826,31826,17
17349768,49768,17
17326376,26376,17
17340557,40557,17
17327859,27859,17
17332508,32508,17
17330820,30820,17
17347595,47595,17
17345720,45720,17
17334644,34644,17
17347593,47593,17
17347600,47600,17
